"","Model #","LR","BS","Momentum","Optimizer","Other #","Bare soil #","Validation Accuracy","Traininig Accuracy","$M-F1_{picture-BBCH}$","$M-F1_{parcel-BBCH}$","$M-F1_{picture-CROP}$","$M-F1_{parcel-CROP}$"
"1",0,"7.726272121e-04",512,"0e+00","Gradient Descent",814,2001,56.4,62.1,35.3,58.2,38.5,57.1
"2",1,"7.726272121e-04",512,"9.2591e-01","Adam",680,2236,77.4,99.4,54,83.3,56.2,83.4
"3",2,"7.726272121e-04",1024,"0e+00","Gradient Descent",792,2003,56.7,59.1,35.3,56.8,38.7,57.7
"4",3,"7.726272121e-04",1024,"9.2591e-01","Adam",696,2180,77.9,99.9,54.2,83.8,56.4,84.8
"5",4,"3.040394932e-01",512,"0e+00","Gradient Descent",707,2532,77.8,99.2,53.1,82.9,55.5,84.1
"6",5,"3.040394932e-01",512,"9.8025e-01","Adam",740,1827,75,96.3,49,79,51,78.1
"7",6,"3.040394932e-01",1024,"0e+00","Gradient Descent",681,1882,78.1,99.8,53.3,83.2,55.7,84.6
"8",7,"3.040394932e-01",1024,"9.8025e-01","Adam",655,1983,73.9,98.7,51.3,79.4,53.4,83.1
"9",8,"6.712433559e-04",512,"0e+00","Gradient Descent",818,1992,55.9,60,34.5,55.6,38,55.4
"10",9,"6.712433559e-04",512,"9.8705e-01","Adam",726,2262,78.1,97.5,54.5,83,56.7,84.7
"11",10,"6.712433559e-04",1024,"0e+00","Gradient Descent",814,1936,55.7,55.8,34.3,56.4,37.8,55.2
"12",11,"6.712433559e-04",1024,"9.8705e-01","Adam",711,2108,77.1,99.7,54.4,84.1,56.8,86.2
"13",12,"4.725415484e-01",512,"0e+00","Gradient Descent",692,2243,77.1,99.6,52.9,83,55.6,84.1
"14",13,"4.725415484e-01",512,"9.9227e-01","Adam",488,1763,74.8,98,51,80.4,53.7,83.8
"15",14,"4.725415484e-01",1024,"0e+00","Gradient Descent",676,2153,76.9,100,53.4,83,55.9,84.9
"16",15,"4.725415484e-01",1024,"9.9227e-01","Adam",682,2208,72.5,100,51.3,81,53.6,82.9
"17",16,"8.987522694e-03",512,"0e+00","Gradient Descent",759,1949,72.5,83,49.4,78.9,51.9,78.8
"18",17,"8.987522694e-03",512,"9.0022e-01","Adam",664,1996,77.4,100,53.7,82.1,56.1,84.4
"19",18,"8.987522694e-03",1024,"0e+00","Gradient Descent",769,1997,73,82.1,49.3,78.5,51.8,78.8
"20",19,"8.987522694e-03",1024,"9.0022e-01","Adam",675,2052,77.8,100,53.7,82.8,56.1,85.3
"21",20,"2.798852425e-02",512,"0e+00","Gradient Descent",736,2267,75.5,93.2,53.3,81.1,55.4,81.9
"22",21,"2.798852425e-02",512,"9.4695e-01","Adam",685,2010,76.8,100,53,81.9,55.3,84
"23",22,"2.798852425e-02",1024,"0e+00","Gradient Descent",744,2074,76.2,91,52.9,82,54.7,84
"24",23,"2.798852425e-02",1024,"9.4695e-01","Adam",683,2102,76.4,100,53.1,82.3,55.4,84
"25",24,"1.157790549e-01",512,"0e+00","Gradient Descent",687,2150,77.6,98,54.2,83.4,56.7,85.3
"26",25,"1.157790549e-01",512,"9.9815e-01","Adam",652,2078,75.7,99.8,51.5,81.4,53.8,85.4
"27",26,"1.157790549e-01",1024,"0e+00","Gradient Descent",710,1537,78.8,97,53.8,83.1,56.1,85.3
"28",27,"1.157790549e-01",1024,"9.9815e-01","Adam",715,2127,73.5,100,50.9,81.7,53.2,82.7
"29",28,"1.18486808e-02",512,"0e+00","Gradient Descent",766,2174,73.6,85.5,50.2,79.3,52.5,77.7
"30",29,"1.18486808e-02",512,"9.3989e-01","Adam",656,2047,77.3,100,53.5,82,55.9,83.5
"31",30,"1.18486808e-02",1024,"0e+00","Gradient Descent",762,1918,75,85.8,50.1,80.3,52.3,80.3
"32",31,"1.18486808e-02",1024,"9.3989e-01","Adam",680,2177,76.4,100,53.9,82.8,56.2,83.5
"33",32,"1.53886315e-03",512,"0e+00","Gradient Descent",754,1947,61.9,68.4,39.9,66.7,43.1,64.2
"34",33,"1.53886315e-03",512,"9.8137e-01","Adam",668,2496,77.7,99.8,53.9,82.6,56.1,83.4
"35",34,"1.53886315e-03",1024,"0e+00","Gradient Descent",751,1940,61.2,65.4,40.2,65.1,43.1,64.9
"36",35,"1.53886315e-03",1024,"9.8137e-01","Adam",679,2059,77.6,100,53.8,82.9,56,84.3
"37",36,"5.634819385e-04",512,"0e+00","Gradient Descent",836,1905,53.9,54.9,33,53.4,36.5,52.6
"38",37,"5.634819385e-04",512,"9.5465e-01","Adam",703,2099,77.3,99.2,53.8,82.6,55.9,85
"39",38,"5.634819385e-04",1024,"0e+00","Gradient Descent",837,2004,54,56.6,33.1,53.3,36.5,50.7
"40",39,"5.634819385e-04",1024,"9.5465e-01","Adam",700,1985,77.9,98.2,54.3,84,56.6,83.9
"41",40,"2.103633121e-04",512,"0e+00","Gradient Descent",1129,2089,45.1,50.2,26.7,42.2,30.9,42.4
"42",41,"2.103633121e-04",512,"9.7709e-01","Adam",726,2215,75.7,92.4,52.8,81.1,54.8,82.2
"43",42,"2.103633121e-04",1024,"0e+00","Gradient Descent",1094,2022,44.8,45.1,26.8,42.3,31,42.7
"44",43,"2.103633121e-04",1024,"9.7709e-01","Adam",705,2168,76.3,93.8,53.3,82.9,55.5,84.2
"45",44,"8.990006381e-02",512,"0e+00","Gradient Descent",685,1877,77.7,97.7,54.7,84,57.1,85.8
"46",45,"8.990006381e-02",512,"9.4849e-01","Adam",4,1312,73,97.9,NA,NA,NA,NA
"47",46,"8.990006381e-02",1024,"0e+00","Gradient Descent",712,2131,77.1,97.4,53.6,82.7,55.7,84.5
"48",47,"8.990006381e-02",1024,"9.4849e-01","Adam",663,2063,74.7,100,51.6,82.9,54,83.6
"49",48,"5.824249888e-03",512,"0e+00","Gradient Descent",735,1938,71.5,77.7,47.7,77,50.2,76.3
"50",49,"5.824249888e-03",512,"9.0291e-01","Adam",661,2000,77.2,100,54,83,56.5,83.7
"51",50,"5.824249888e-03",1024,"0e+00","Gradient Descent",752,1936,70.8,80.7,47.2,77.1,50,76.8
"52",51,"5.824249888e-03",1024,"9.0291e-01","Adam",670,2095,76.7,80.7,53.9,82.5,56.2,83.5
"53",52,"4.29773863e-04",512,"0e+00","Gradient Descent",893,1967,50.7,52.1,30.8,49.6,34.8,50
"54",53,"4.29773863e-04",512,"9.0865e-01","Adam",722,2004,77.4,94.9,53.9,81.9,55.9,84
"55",54,"4.29773863e-04",1024,"0e+00","Gradient Descent",888,1986,51.3,56.6,30.8,48.9,34.7,49.9
"56",55,"4.29773863e-04",1024,"9.0865e-01","Adam",687,2166,77.1,97.6,54.4,83.5,56.3,83.5
"57",56,"3.309405619e-01",512,"0e+00","Gradient Descent",693,2184,78.1,100,53.2,83.8,55.5,84.7
"58",57,"3.309405619e-01",512,"9.1115e-01","Adam",758,2862,75.1,96.5,51,80.8,53,83.1
"59",58,"3.309405619e-01",1024,"0e+00","Gradient Descent",653,3674,72.9,91.8,50.9,NA,51.4,NA
"60",59,"3.309405619e-01",1024,"9.1115e-01","Adam",678,2150,76.2,100,52.6,82.5,55.2,84.6
"61",60,"1.248389192e-03",512,"0e+00","Gradient Descent",753,2012,60.2,66.4,38.1,63.4,41.4,60.9
"62",61,"1.248389192e-03",512,"9.2512e-01","Adam",669,2195,77.6,100,54.4,83.7,56.6,84.3
"63",62,"1.248389192e-03",1024,"0e+00","Gradient Descent",768,1992,60.4,64.2,38.3,62.3,41.3,61.5
"64",63,"1.248389192e-03",1024,"9.2512e-01","Adam",681,2095,77.4,100,53.7,84,56,84.4
"65",64,"4.538789066e-03",512,"0e+00","Gradient Descent",740,1919,70.5,75.2,46.2,76.1,48.8,73.9
